Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.84     0.00       37     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::remove_prefix(unsigned long)
  0.00      0.84     0.00       37     0.00     0.00  std::__cxx11::to_string(unsigned long)
  0.00      0.84     0.00       36     0.00     0.00  unsigned long long __gnu_cxx::__stoa<unsigned long long, unsigned long long, char, int>(unsigned long long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)
  0.00      0.84     0.00       36     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_allocate(unsigned long)
  0.00      0.84     0.00       36     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::back()
  0.00      0.84     0.00       36     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(char const*, unsigned long, std::allocator<char> const&)
  0.00      0.84     0.00       35     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::data() const
  0.00      0.84     0.00       35     0.00     0.00  void std::_Destroy_aux<false>::__destroy<unsigned long*>(unsigned long*, unsigned long*)
  0.00      0.84     0.00       35     0.00     0.00  std::__sv_check(unsigned long, unsigned long, char const*)
  0.00      0.84     0.00       35     0.00     0.00  ThreadPool::enqueue<decrypt_input(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)::{lambda()#1}>(decrypt_input(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)::{lambda()#1}&&)::{lambda()#1}&& std::forward<ThreadPool::enqueue<decrypt_input(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)::{lambda()#1}>(ThreadPool::enqueue<decrypt_input(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)::{lambda()#1}>(decrypt_input(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)::{lambda()#1}&&)::{lambda()#1}&&)::{lambda()#1}>(std::remove_reference<ThreadPool::enqueue<decrypt_input(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)::{lambda()#1}>(decrypt_input(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)::{lambda()#1}&&)::{lambda()#1}>::type&)
  0.00      0.84     0.00       33     0.00     0.00  std::allocator<int> const& std::forward<std::allocator<int> const&>(std::remove_reference<std::allocator<int> const&>::type&)
  0.00      0.84     0.00       33     0.00     0.00  std::operator&(std::memory_order, std::__memory_order_modifier)
  0.00      0.84     0.00       32     0.00     0.00  std::char_traits<char>::assign(char*, unsigned long, char)
  0.00      0.84     0.00       32     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::__sv_wrapper::__sv_wrapper(std::basic_string_view<char, std::char_traits<char> >)
  0.00      0.84     0.00       32     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::basic_string_view<char, std::char_traits<char> >, void>(std::basic_string_view<char, std::char_traits<char> > const&, std::allocator<char> const&)
  0.00      0.84     0.00       31     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_to_string_view(std::basic_string_view<char, std::char_traits<char> >)
  0.00      0.84     0.00       31     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.84     0.00       30     0.00     0.00  std::_Head_base<0ul, std::__future_base::_Result<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >*, false>::_M_head(std::_Head_base<0ul, std::__future_base::_Result<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >*, false>&)
  0.00      0.84     0.00       30     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::__sv_wrapper, std::allocator<char> const&)
  0.00      0.84     0.00       30     0.00     0.00  unsigned int std::__detail::__to_chars_len<unsigned long>(unsigned long, int)
  0.00      0.84     0.00       30     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::type&)
  0.00      0.84     0.00       29     0.00     0.00  std::_Tuple_impl<0ul, std::__future_base::_Result<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >*, std::__future_base::_Result_base::_Deleter>::_M_head(std::_Tuple_impl<0ul, std::__future_base::_Result<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >*, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.84     0.00       28     0.00     0.00  __gthread_active_p()
  0.00      0.84     0.00       28     0.00     0.00  std::__uniq_ptr_impl<std::__future_base::_Result<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__future_base::_Result_base::_Deleter>::_M_ptr()
  0.00      0.84     0.00       28     0.00     0.00  std::__future_base::_Result<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >*& std::__get_helper<0ul, std::__future_base::_Result<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >*, std::__future_base::_Result_base::_Deleter>(std::_Tuple_impl<0ul, std::__future_base::_Result<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >*, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.84     0.00       28     0.00     0.00  std::__future_base::_Result_base::_Deleter&& std::forward<std::__future_base::_Result_base::_Deleter>(std::remove_reference<std::__future_base::_Result_base::_Deleter>::type&)
  0.00      0.84     0.00       27     0.00     0.00  std::tuple_element<0ul, std::tuple<std::__future_base::_Result<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >*, std::__future_base::_Result_base::_Deleter> >::type& std::get<0ul, std::__future_base::_Result<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >*, std::__future_base::_Result_base::_Deleter>(std::tuple<std::__future_base::_Result<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >*, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.84     0.00       25     0.00     0.00  std::atomic<bool>::operator bool() const
  0.00      0.84     0.00       24     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.84     0.00       24     0.00     0.00  unsigned long&& std::forward<unsigned long>(std::remove_reference<unsigned long>::type&)
  0.00      0.84     0.00       24     0.00     0.00  void std::_Destroy<unsigned long*>(unsigned long*, unsigned long*)
  0.00      0.84     0.00       22     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<unsigned long, void>::value, unsigned long*>::type std::__relocate_a_1<unsigned long, unsigned long>(unsigned long*, unsigned long*, unsigned long*, std::allocator<unsigned long>&)
  0.00      0.84     0.00       21     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::difference_type __gnu_cxx::operator-<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > > const&, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > > const&)
  0.00      0.84     0.00       21     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.00      0.84     0.00       21     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::begin()
  0.00      0.84     0.00       20     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::__normal_iterator(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* const&)
  0.00      0.84     0.00       20     0.00     0.00  std::__shared_ptr<std::__future_base::_State_baseV2, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      0.84     0.00       20     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::_S_relocate(unsigned long*, unsigned long*, unsigned long*, std::allocator<unsigned long>&)
  0.00      0.84     0.00       19     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::base() const
  0.00      0.84     0.00       19     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::_M_check_len(unsigned long, char const*) const
  0.00      0.84     0.00       19     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_swap(std::__shared_count<(__gnu_cxx::_Lock_policy)2>&)
  0.00      0.84     0.00       18     0.00     0.00  std::_Head_base<1ul, std::__future_base::_Result_base::_Deleter, true>::_M_head(std::_Head_base<1ul, std::__future_base::_Result_base::_Deleter, true>&)
  0.00      0.84     0.00       18     0.00     0.00  std::_Tuple_impl<1ul, std::__future_base::_Result_base::_Deleter>::_M_head(std::_Tuple_impl<1ul, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.84     0.00       18     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count()
  0.00      0.84     0.00       18     0.00     0.00  std::__future_base::_Result_base::_Deleter& std::__get_helper<1ul, std::__future_base::_Result_base::_Deleter>(std::_Tuple_impl<1ul, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.84     0.00       16     0.00     0.00  std::_Function_base::_Function_base()
  0.00      0.84     0.00       16     0.00     0.00  std::__uniq_ptr_impl<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter>::_M_ptr()
  0.00      0.84     0.00       16     0.00     0.00  std::__future_base::_Result_base*& std::__get_helper<0ul, std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>(std::_Tuple_impl<0ul, std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.84     0.00       15     0.00     0.00  std::shared_ptr<std::__future_base::_State_baseV2>::~shared_ptr()
  0.00      0.84     0.00       15     0.00     0.00  std::_Tuple_impl<0ul, std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>::_M_head(std::_Tuple_impl<0ul, std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.84     0.00       15     0.00     0.00  std::atomic<bool>::operator=(bool)
  0.00      0.84     0.00       15     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::_S_relocate(std::thread*, std::thread*, std::thread*, std::allocator<std::thread>&)
  0.00      0.84     0.00       15     0.00     0.00  std::thread* std::__relocate_a<std::thread*, std::thread*, std::allocator<std::thread> >(std::thread*, std::thread*, std::thread*, std::allocator<std::thread>&)
  0.00      0.84     0.00       15     0.00     0.00  std::tuple_element<0ul, std::tuple<std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter> >::type& std::get<0ul, std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>(std::tuple<std::__future_base::_Result_base*, std::__future_base::_Result_base::_Deleter>&)
  0.00      0.84     0.00       15     0.00     0.00  std::remove_reference<std::__future_base::_State_baseV2*&>::type&& std::move<std::__future_base::_State_baseV2*&>(std::__future_base::_State_baseV2*&)
  0.00      0.84     0.00       15     0.00     0.00  std::__future_base::_Result_base*& std::forward<std::__future_base::_Result_base*&>(std::remove_reference<std::__future_base::_Result_base*&>::type&)
  0.00      0.84     0.00       14     0.00     0.00  __gthread_mutex_lock(pthread_mutex_t*)
  0.00      0.84     0.00       14     0.00     0.00  __gthread_mutex_unlock(pthread_mutex_t*)
  0.00      0.84     0.00       14     0.00     0.00  __gnu_cxx::__aligned_buffer<std::__future_base::_Task_state<std::_Bind<decrypt_input(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)::{lambda()#1} ()>, std::allocator<int>, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > ()> >::_M_ptr()
  0.00      0.84     0.00       14     0.00     0.00  __gnu_cxx::__aligned_buffer<std::__future_base::_Task_state<std::_Bind<decrypt_input(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)::{lambda()#1} ()>, std::allocator<int>, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > ()> >::_M_addr()
  0.00      0.84     0.00       14     0.00     0.00  std::unique_lock<std::mutex>::lock()
  0.00      0.84     0.00       14     0.00     0.00  std::unique_lock<std::mutex>::unlock()
  0.00      0.84     0.00       14     0.00     0.00  std::unique_lock<std::mutex>::unique_lock(std::mutex&)
