Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.02     0.00       34     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)::_Guard::~_Guard()
  0.00      0.02     0.00       33     0.00     0.00  std::function<void ()>::function()
  0.00      0.02     0.00       32     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::operator++()
  0.00      0.02     0.00       32     0.00     0.00  bool __gnu_cxx::operator==<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >(__gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > > const&, __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > > const&)
  0.00      0.02     0.00       32     0.00     0.00  std::thread::~thread()
  0.00      0.02     0.00       32     0.00     0.00  void std::destroy_at<std::thread>(std::thread*)
  0.00      0.02     0.00       32     0.00     0.00  std::thread* std::__addressof<std::thread>(std::thread&)
  0.00      0.02     0.00       32     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.02     0.00       32     0.00     0.00  void std::_Destroy<std::thread>(std::thread*)
  0.00      0.02     0.00       31     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::operator-(long) const
  0.00      0.02     0.00       31     0.00     0.00  std::_Head_base<0ul, std::thread::_State*, false>::_Head_base()
  0.00      0.02     0.00       31     0.00     0.00  std::_Head_base<0ul, ThreadPool::ThreadPool(unsigned long)::{lambda()#1}, false>::_Head_base<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}>(ThreadPool::ThreadPool(unsigned long)::{lambda()#1}&&)
  0.00      0.02     0.00       31     0.00     0.00  std::_Head_base<1ul, std::default_delete<std::thread::_State>, true>::_Head_base()
  0.00      0.02     0.00       31     0.00     0.00  std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::unique_ptr<std::default_delete<std::thread::_State>, void>(std::thread::_State*)
  0.00      0.02     0.00       31     0.00     0.00  std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::~unique_ptr()
  0.00      0.02     0.00       31     0.00     0.00  std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_Tuple_impl()
  0.00      0.02     0.00       31     0.00     0.00  std::_Tuple_impl<0ul, ThreadPool::ThreadPool(unsigned long)::{lambda()#1}>::_Tuple_impl<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}>(ThreadPool::ThreadPool(unsigned long)::{lambda()#1}&&)
  0.00      0.02     0.00       31     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<std::thread::_State> >::_Tuple_impl()
  0.00      0.02     0.00       31     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_deallocate(unsigned long*, unsigned long)
  0.00      0.02     0.00       31     0.00     0.00  std::__uniq_ptr_data<std::thread::_State, std::default_delete<std::thread::_State>, true, true>::__uniq_ptr_impl(std::thread::_State*)
  0.00      0.02     0.00       31     0.00     0.00  std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::__uniq_ptr_impl(std::thread::_State*)
  0.00      0.02     0.00       31     0.00     0.00  void std::condition_variable::wait<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}::operator()() const::{lambda()#1}>(std::unique_lock<std::mutex>&, ThreadPool::ThreadPool(unsigned long)::{lambda()#1}::operator()() const::{lambda()#1})
  0.00      0.02     0.00       31     0.00     0.00  std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >::tuple<true, true>()
  0.00      0.02     0.00       31     0.00     0.00  std::thread& std::vector<std::thread, std::allocator<std::thread> >::emplace_back<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}>(ThreadPool::ThreadPool(unsigned long)::{lambda()#1}&&)
  0.00      0.02     0.00       31     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::end()
  0.00      0.02     0.00       31     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      0.02     0.00       31     0.00     0.00  decltype (::new ((void*)(0)) std::thread((declval<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}>)())) std::construct_at<std::thread, ThreadPool::ThreadPool(unsigned long)::{lambda()#1}>(std::thread*, ThreadPool::ThreadPool(unsigned long)::{lambda()#1}&&)
  0.00      0.02     0.00       30     0.00     0.00  std::tuple<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}>::tuple<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}, true, true>(ThreadPool::ThreadPool(unsigned long)::{lambda()#1}&&)
  0.00      0.02     0.00       30     0.00     0.00  std::thread::_State_impl<std::thread::_Invoker<std::tuple<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}> > >::_State_impl<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}>(ThreadPool::ThreadPool(unsigned long)::{lambda()#1}&&)
  0.00      0.02     0.00       30     0.00     0.00  std::thread::_State::_State()
  0.00      0.02     0.00       30     0.00     0.00  void std::thread::_Invoker<std::tuple<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}> >::_M_invoke<0ul>(std::_Index_tuple<0ul>)
  0.00      0.02     0.00       30     0.00     0.00  std::thread::_Invoker<std::tuple<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}> >::_Invoker<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}>(ThreadPool::ThreadPool(unsigned long)::{lambda()#1}&&)
  0.00      0.02     0.00       30     0.00     0.00  std::thread::_Invoker<std::tuple<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}> >::operator()()
  0.00      0.02     0.00       30     0.00     0.00  std::thread::thread<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}, , void>(ThreadPool::ThreadPool(unsigned long)::{lambda()#1}&&)
  0.00      0.02     0.00       30     0.00     0.00  std::vector<std::thread, std::allocator<std::thread> >::back()
  0.00      0.02     0.00       30     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(char const*, unsigned long, std::allocator<char> const&)
  0.00      0.02     0.00       30     0.00     0.00  void std::__invoke_impl<void, ThreadPool::ThreadPool(unsigned long)::{lambda()#1}>(std::__invoke_other, ThreadPool::ThreadPool(unsigned long)::{lambda()#1}&&)
  0.00      0.02     0.00       30     0.00     0.00  std::remove_reference<std::tuple<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}>&>::type&& std::move<std::tuple<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}>&>(std::tuple<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}>&)
  0.00      0.02     0.00       30     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::type&)
  0.00      0.02     0.00       30     0.00     0.00  std::allocator<int> const& std::forward<std::allocator<int> const&>(std::remove_reference<std::allocator<int> const&>::type&)
  0.00      0.02     0.00       30     0.00     0.00  std::__invoke_result<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}>::type std::__invoke<ThreadPool::ThreadPool(unsigned long)::{lambda()#1}>(ThreadPool::ThreadPool(unsigned long)::{lambda()#1}&&)
  0.00      0.02     0.00       30     0.00     0.00  ThreadPool::ThreadPool(unsigned long)::{lambda()#1}::operator()() const
  0.00      0.02     0.00       29     0.00     0.00  std::_Head_base<0ul, ThreadPool::ThreadPool(unsigned long)::{lambda()#1}, false>::_M_head(std::_Head_base<0ul, ThreadPool::ThreadPool(unsigned long)::{lambda()#1}, false>&)
  0.00      0.02     0.00       29     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::remove_prefix(unsigned long)
